district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Dhule, MH",83.0,,,,44.31,12.31,0.0,0.0,0.0,0.95,5.5,9.2,9.83,10.43,10.07,6.09,4.61,6.49,8.1,10.72,11.87,11.23,9.62,8.24,5.85,4.13
"Dibrugarh, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dima Hasao, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dimapur, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dindigul, TN",126.0,,,,0.0,0.0,0.0,0.0,6.67,11.67,15.67,39.0,52.85,47.09,42.96,39.79,18.86,7.15,7.54,8.48,9.32,7.94,9.22,9.18,8.53,7.98
"Dindori, MP",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Diu, DN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Doda, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dohad, GJ",28.0,,,,,,,,,,,,74.22,61.49,52.83,14.08,11.86,9.86,2.58,1.25,0.0,0.0,0.0,2.35,6.56,6.56
"Dumka, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Dungarpur, RJ",211.0,,,,,,,,,,,,,,,30.0,10.0,6.67,11.67,15.67,19.0,21.86,82.69,87.98,108.13,119.67
"Durg, CT",10.0,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Champaran, BR",19.0,,,,,,,,,,,,,,,,,,,,35.19,17.69,14.91,13.91,10.58,7.72
"East District, SK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"East Garo Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"East Godavari, AP",57.0,,,,,45.58,19.58,14.91,14.91,12.41,10.19,6.19,2.86,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.82,9.65,10.45,6.22,4.22
"East Jaintia Hills, ML",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"East Kameng, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"East Khasi Hills, ML",13.0,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Siang, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"East Singhbhum, JH",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ernakulam, KL",29.0,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,10.0,10.0
"Erode, TN",70.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Etah, UP",11.0,,,,,,,,,,,,17.58,11.4,10.21,9.25,8.45,7.79,5.97,4.3,2.76,1.33,0.0,0.0,0.0,0.0
"Etawah, UP",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Faizabad, UP",7.0,,,,,,,,,,,,,,,,,,,,,,49.67,29.67,19.67,13.0
"Faridabad, HR",163.0,,,,,,,,162.22,164.22,167.86,169.4,12.25,17.53,19.17,16.3,15.5,17.65,17.57,15.61,19.45,21.52,17.62,10.97,10.05,8.57
"Faridkot, PB",61.0,,,,,,,,,,,77.67,57.67,47.67,41.0,36.0,0.0,0.0,0.48,0.94,1.4,1.84,3.14,4.3,4.59,4.14
"Farrukhabad, UP",20.0,,,,,,,,,,,,,,,,,,,,,,,27.57,26.9,26.52
"Fatehabad, HR",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Fatehgarh Sahib, PB",56.0,,,,,,,,,,,,,35.77,15.91,15.0,16.25,18.59,20.82,17.34,13.64,8.64,3.14,0.0,0.0,0.0
"Fatehpur, UP",23.0,,,,,,,,,,,,,,,,,,,,,,30.0,23.33,13.33,13.33
"Fazilka, PB",44.0,,,,,,,,,,,,,,,,,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0
"Firozabad, UP",203.0,,,,198.16,18.16,2.16,14.05,20.88,25.23,29.16,31.24,21.49,13.84,10.87,8.45,6.96,3.91,3.87,2.49,0.99,0.39,0.76,0.76,1.31,1.31
"Firozpur, PB",44.0,,,,,,,,,,,,,,13.63,1.63,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gadag, KA",18.0,,,,,,,,,,,,,,,,,,,,,,,,28.54,10.21
"Gadchiroli, MH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Gajapati, OR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ganderbal, JK",25.0,,,,,,,,,,,,,,,,,,80.0,20.0,0.0,0.0,0.0,0.0,0.0,2.5
"Gandhinagar, GJ",190.0,,,,,114.51,44.51,37.17,34.5,25.73,26.2,16.87,17.52,7.44,8.79,11.67,12.97,13.46,12.42,10.01,4.6,4.36,3.44,3.64,5.1,6.19
"Ganganagar, RJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ganjam, OR",307.0,,,,,,,,,,,,,,,,,532.82,53.35,25.66,24.42,17.02,13.26,13.82,8.15,4.09
"Garhwa, JH",29.0,,,,,,,,,,,,,,,,,,,,,,45.67,29.0,21.86,15.19
"Gariaband, CT",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Gautam Buddha Nagar, UP",300.0,,,,39.75,24.25,26.81,27.08,14.58,16.43,14.76,13.76,10.01,9.3,7.61,7.25,5.88,6.39,6.33,7.4,5.98,5.65,5.04,5.4,4.04,3.38
"Gaya, BR",11.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ghaziabad, UP",194.0,,,,46.85,30.05,22.81,16.29,13.25,16.62,17.95,18.27,18.05,17.87,12.99,9.69,8.37,7.48,6.34,4.55,6.46,5.14,5.4,6.26,6.25,3.6
"Ghazipur, UP",43.0,,,,,,,,,,,,,,,,,,,,,89.17,70.12,61.03,55.23,36.06
"Gir Somnath, GJ",28.0,,,,,,,,,,,,,,,,,,,,39.72,20.26,14.47,11.28,13.62,13.77
"Giridih, JH",10.0,,,,,,,,,,,,,,,,,,,,,,,30.0,20.0,0.0
"Goalpara, AS",6.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Godda, JH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Golaghat, AS",15.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Gomati, TR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonda, UP",36.0,,,,,,,,,,,,,,43.67,27.3,20.38,21.71,19.57,18.4,15.57,13.26,6.74,5.26,5.72,6.13
"Gondiya, MH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Gopalganj, BR",63.0,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,6.19,9.94,13.1,15.83,17.29,18.31,14.56
"Gorakhpur, UP",21.0,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,43.33,49.05,51.27,53.27,15.09
"Gumla, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Guna, MP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Guntur, AP",417.0,,,,35.52,30.83,29.51,29.84,17.72,13.73,8.87,9.73,7.66,8.42,6.85,4.37,3.36,2.47,3.11,4.59,4.79,5.62,6.47,5.04,3.46,3.05
"Gurdaspur, PB",124.0,,,,,,,,,,,,303.78,285.25,40.7,36.26,7.16,6.92,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.18
"Gurugram, HR",220.0,,,,28.82,20.36,8.45,10.45,15.3,21.13,20.2,25.24,30.13,27.47,22.27,25.35,19.65,11.51,10.39,8.87,5.8,6.35,7.53,6.03,6.07,6.48
"Gwalior, MP",72.0,,,,,,,,,,,,,,,,,,43.17,24.65,18.1,14.37,16.52,17.95,18.76,17.37
"Hailakandi, AS",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamirpur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamirpur, UP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamirpur(HP), HP",15.0,,,,,,,,,,,,,,,,,,,,30.0,36.67,41.67,49.67,43.95,33.95
"Hamirpur(UP), UP",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hanumangarh, RJ",14.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,10.0
"Hapur, UP",87.0,,,,39.17,19.17,9.17,2.5,4.44,20.81,21.81,22.76,23.67,25.31,10.28,10.53,10.17,9.83,4.3,4.05,3.31,7.72,7.95,8.16,7.45,7.67
"Harda, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hardoi, UP",19.0,,,,,,,,,,,,,,,,,,,,,,,,48.33,31.41
"Haridwar, UT",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hassan, KA",33.0,,,,,,,,,,,,,,,,,,,,,,,,,37.86
"Hathras, UP",20.0,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Haveri, KA",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hazaribagh, JH",32.0,,,,,,,,,,,,,,,,,,,,,,45.98,26.54,17.08,13.57
"Hingoli, MH",104.0,,,,,20.0,0.0,0.0,0.0,50.0,52.86,55.36,62.02,62.02,12.02,9.17,6.67,1.67,3.21,3.21,3.21,3.21,2.97,2.76,12.76,12.76
"Hisar, HR",9.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hnahthial, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hojai, AS",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Hooghly, WB",153.0,,,,45.67,29.0,21.86,17.69,14.91,12.91,11.4,10.21,12.32,11.35,10.53,18.15,34.98,31.34,30.47,30.57,21.3,2.98,3.7,3.48,2.66,2.94
"Hoshangabad, MP",37.0,,,,,30.48,12.02,8.45,7.79,7.22,5.55,4.01,2.58,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hoshiarpur, PB",95.0,,,,,,,,,,169.38,163.1,158.47,154.83,1.85,1.82,2.48,3.09,3.66,4.2,3.85,2.82,1.83,0.9,0.0,0.0
"Howrah, WB",625.0,,,,45.67,29.0,21.86,17.69,14.91,12.91,11.4,11.4,11.4,12.42,13.44,12.18,12.49,11.32,10.1,7.42,8.08,6.16,5.55,4.29,5.06,4.84
"Hyderabad, TG",1041.0,,,,44.97,26.55,18.01,13.73,11.72,11.27,10.15,10.66,11.09,9.42,6.92,9.79,10.3,15.2,16.03,16.62,15.37,14.45,9.69,8.82,8.03,7.15
"Idukki, KL",24.0,,,,,38.89,18.89,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Imphal East, MN",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Imphal West, MN",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Indore, MP",2637.0,,,,112.23,40.5,30.3,20.09,18.66,7.78,4.48,5.37,5.08,4.54,4.52,4.5,5.07,5.98,7.11,8.05,8.95,8.05,7.55,7.22,6.78,5.45
"Jabalpur, MP",184.0,,,,,276.02,38.94,15.05,9.91,10.69,7.29,6.73,6.79,6.56,5.5,5.59,4.14,5.5,4.76,6.39,7.4,8.24,7.1,6.46,4.73,3.29
"Jagatsinghapur, OR",28.0,,,,,,,,,,,,,,,,,,,45.67,29.0,21.86,17.69,14.91,12.91,11.4
"Jagitial, TG",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaipur, RJ",1640.0,,,,69.89,25.17,22.23,19.76,16.99,14.89,13.77,12.12,12.48,10.38,9.43,9.7,8.99,7.45,7.6,8.04,6.26,6.0,8.84,9.05,7.96,7.69
"Jaisalmer, RJ",59.0,,,,,,,,,,,,,,,,,,,,,,,34.06,29.06,14.06
"Jajapur, OR",168.0,,,,43.67,25.48,17.15,13.56,13.56,13.56,13.56,9.23,8.52,6.7,5.03,1.96,1.29,0.61,2.37,6.15,13.88,14.54,23.77,22.22,18.65,17.38
"Jalandhar, PB",209.0,,,,46.47,33.67,29.25,18.6,19.06,16.3,16.81,16.73,9.16,6.65,7.77,9.8,9.25,9.92,8.46,6.37,4.22,4.04,3.88,3.3,3.85,2.91
"Jalaun, UP",41.0,,,,,,,,,20.0,20.0,20.0,20.0,30.0,16.67,116.67,117.5,118.3,112.92,106.25,6.25,5.42,4.62,0.0,0.0,0.0
"Jalgaon, MH",292.0,,,,52.24,39.82,20.69,9.52,6.57,4.18,4.01,3.86,7.85,14.27,20.85,31.16,39.1,34.54,28.9,23.27,14.15,7.87,7.97,7.83,8.3,6.38
"Jalna, MH",36.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,46.67,51.67,55.67,59.0,21.86,35.19,30.19
"Jalor, RJ",97.0,,,,,,,,,,,,,,,,,,,48.84,52.0,51.11,35.27,31.88,37.74,14.58
"Jalpaiguri, WB",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jammu, JK",47.0,,,,,,,,,,,,,,,,38.69,25.36,18.69,18.21,17.86,17.58,12.91,11.4,10.21,7.71
"Jamnagar, GJ",42.0,,,,,,,,,,,,,,,,97.1,79.71,40.48,19.37,9.27,6.91,4.93,4.77,3.13,3.04
"Jamtara, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamui, BR",15.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jangoan, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Janjgir Champa, CT",11.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jashpur, CT",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaunpur, UP",30.0,,,,,,,,,,,,,,,,,,,,45.67,39.0,47.0,41.39,37.39,33.39
"Jayashankar, TG",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jehanabad, BR",58.0,,,,,,,,,,,,,,,,,,,45.67,31.22,23.83,19.47,15.16,11.83,6.92
"Jhabua, MP",11.0,,,,,,,,,,,,,,,,,,,,,,,30.0,10.0,0.0
"Jhajjar, HR",90.0,,,,,,,,,,383.36,26.49,24.32,14.8,13.96,6.39,3.25,1.22,0.58,0.58,1.42,1.69,1.96,1.67,1.38,0.54
"Jhalawar, RJ",50.0,,,,,,37.33,33.33,0.0,0.0,0.0,1.25,4.78,9.78,13.78,13.78,12.53,9.0,4.0,0.0,0.0,0.0,3.33,6.19,8.69,10.91
"Jhansi, UP",30.0,,,,,,,,,,,,32.69,14.91,12.91,14.12,14.97,13.1,13.9,14.54,9.99,6.29,5.66,2.63,0.0,0.0
"Jhargram, WB",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jharsuguda, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jhunjhunu, RJ",60.0,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,43.33,45.83,48.06,52.06,45.39,14.91
"Jind, HR",21.0,,,,,,,,,,,,,,,46.67,26.67,16.67,6.67,3.33,6.19,6.19,6.19,6.19,2.86,0.0
"Jiribam, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Jodhpur, RJ",1110.0,,,,40.14,37.22,45.72,29.38,31.17,27.19,30.04,16.54,15.5,12.0,10.62,5.85,4.35,2.68,2.38,2.31,3.06,3.6,3.36,3.74,4.42,4.28
"Jogulamba Gadwal, TG",45.0,,,,17.52,11.52,6.91,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jorhat, AS",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Junagadh, GJ",12.0,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,40.0
"Kabeerdham, CT",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kachchh, GJ",52.0,,,,,,,,,,,,,,,,,,,,,,25.97,7.22,9.08,28.54
"Kaimur Bhabhua, BR",44.0,,,,,,,,,,,,,,,16.67,6.67,0.0,0.0,0.0,5.0,9.0,12.33,18.05,22.49,21.13
"Kaithal, HR",5.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kakching, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalaburagi, KA",128.0,,,,45.67,52.33,43.76,39.76,35.94,33.05,8.49,8.01,6.25,7.69,6.58,4.47,3.52,3.38,1.51,7.22,8.34,9.91,13.05,16.39,14.4,17.01
"Kalahandi, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kalimpong, WB",7.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kallakurichi, TN",111.0,,,,,,,,20.0,0.0,10.0,16.67,21.67,25.67,29.0,21.86,16.02,11.82,8.59,6.0,3.86,3.71,14.25,20.71,21.53,24.01
"Kamareddy, TG",12.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamjong, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamle, AR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamrup, AS",9.0,,,,,,,,,,,,,,,,,,,,,,,45.67,29.0,21.86
"Kamrup Metropolitan, AS",66.0,,,,,,,,,,,,,,,,,,,45.67,52.33,46.62,42.31,42.57,44.4,20.32
"Kancheepuram, TN",206.0,,,,90.0,76.67,11.67,14.33,29.63,29.63,22.96,17.96,45.29,30.53,32.61,36.61,38.18,9.63,13.17,11.65,8.75,8.48,7.51,4.04,5.44,4.87
"Kandhamal, OR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kangpokpi, MN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kangra, HP",21.0,,,,,,,,,,,,,,,,,,57.67,39.89,33.89,28.89,25.43,10.86,9.97,5.97
"Kannauj, UP",25.0,,,,,,,,,,,,,,,,,,,,,49.37,32.53,18.59,9.5,7.0
"Kanniyakumari, TN",49.0,,,,,,,,,,,,,,,43.67,25.48,17.15,12.02,9.88,10.38,11.9,12.13,12.33,11.08,12.28
"Kannur, KL",129.0,,,,53.67,33.67,23.67,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,11.0,13.69
"Kanpur Dehat, UP",7.0,,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,0.0,0.0
"Kanpur Nagar, UP",317.0,,,,63.2,26.95,18.2,13.58,8.12,10.13,8.71,7.51,7.4,8.07,5.87,6.0,6.12,4.73,3.79,2.67,1.8,1.71,2.58,2.36,2.35,2.09
"Kapurthala, PB",33.0,,,,,,,,,43.0,24.25,15.43,9.87,5.92,5.59,5.29,5.03,6.52,7.78,7.47,7.18,6.92,4.93,4.44,5.42,4.76
"Karaikal, PY",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Karauli, RJ",10.0,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,10.0,16.67,21.67,21.67,21.67
"Karbi Anglong, AS",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kargil, LA",9.0,,,,,,,30.0,10.0,6.67,6.67,6.67,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Karimganj, AS",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Karimnagar, TG",19.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Karnal, HR",20.0,,,,,,,,,,,,,,,,,14.91,12.91,18.67,22.06,21.47,20.98,20.58,12.23,6.7
"Karur, TN",79.0,,,,,,,,,,,,,,,,40.0,25.0,9.0,15.67,20.67,22.67,19.48,17.15,12.02,15.59
"Kasaragod, KL",197.0,,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,11.67,15.67,19.0,24.71,22.49,21.13,17.13
"Kasganj, UP",13.0,,,,,,,,,,,,,,,,,,,,32.33,12.33,7.33,3.33,0.0,5.71
"Kathua, JK",36.0,,,,,,,,,,,,,,,,,,,,,104.86,56.62,22.36,16.52,16.52
"Katihar, BR",34.0,,,,,,,,,,,,,,,31.44,12.62,9.73,7.45,5.59,5.29,5.03,4.78,7.9,10.35,17.04
"Katni, MP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaushambi, UP",29.0,,,,,,,,,,,,,,,,,,,,,,,,,45.67
"Kendrapara, OR",38.0,,,,,,,,,,,,,,,,,,31.44,12.62,9.73,7.45,8.59,8.17,9.4,14.0
"Kendujhar, OR",8.0,,,,,,,,,,,,,,,,,,,,,,,,,36.67
"Khagaria, BR",55.0,,,,,,,,,,,,,,,,,,,,,164.09,65.2,12.39,10.18,5.38
"Khammam, TG",8.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Khandwa, MP",186.0,,,,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.67,21.67,37.67,39.89,31.89,61.59,57.23,41.86,39.63,37.63,1.27,0.62,12.73
"Khargone, MP",114.0,,,,,38.69,23.13,16.77,14.67,13.26,12.11,8.93,7.68,8.58,9.05,9.45,9.8,8.91,7.2,5.68,4.2,2.85,3.3,3.48,3.64,3.94
"Khawzawl, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kheda, GJ",51.0,,,,,,,,,,,,,,50.79,32.69,20.23,19.06,14.41,5.18,5.49,6.62,9.43,11.7,11.38,10.9
"Kheri, UP",35.0,,,,,,,,,,,,,,,,,,,,,,,51.67,33.0,24.25
"Khordha, OR",64.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Khowai, TR",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Khunti, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kinnaur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kiphire, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kishanganj, BR",14.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kishtwar, JK",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kodagu, KA",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kodarma, JH",9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Kohima, NL",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kokrajhar, AS",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolar, KA",9.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolasib, MZ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolhapur, MH",52.0,,,,,,,45.67,29.0,19.0,12.33,7.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,10.57,12.39,27.39,42.63,34.06
