date,daily_confirmed,total_confirmed,daily_deaths,total_deaths,daily_recovered,total_recovered,rolling_avg_confirmed,rolling_avg_deaths
2020-01-30,1,1,0,0,0,0,,
2020-01-31,0,1,0,0,0,0,,
2020-02-01,0,1,0,0,0,0,,
2020-02-02,1,2,0,0,0,0,,
2020-02-03,1,3,0,0,0,0,,
2020-02-04,0,3,0,0,0,0,,
2020-02-05,0,3,0,0,0,0,0.42857142857142855,0.0
2020-02-06,0,3,0,0,0,0,0.2857142857142857,0.0
2020-02-07,0,3,0,0,0,0,0.2857142857142857,0.0
2020-02-08,0,3,0,0,0,0,0.2857142857142857,0.0
2020-02-09,0,3,0,0,0,0,0.14285714285714285,0.0
2020-02-10,0,3,0,0,0,0,0.0,0.0
2020-02-11,0,3,0,0,0,0,0.0,0.0
2020-02-12,0,3,0,0,0,0,0.0,0.0
2020-02-13,0,3,0,0,1,1,0.0,0.0
2020-02-14,0,3,0,0,0,1,0.0,0.0
2020-02-15,0,3,0,0,0,1,0.0,0.0
2020-02-16,0,3,0,0,1,2,0.0,0.0
2020-02-17,0,3,0,0,0,2,0.0,0.0
2020-02-18,0,3,0,0,0,2,0.0,0.0
2020-02-19,0,3,0,0,0,2,0.0,0.0
2020-02-20,0,3,0,0,1,3,0.0,0.0
2020-02-21,0,3,0,0,0,3,0.0,0.0
2020-02-22,0,3,0,0,0,3,0.0,0.0
2020-02-23,0,3,0,0,0,3,0.0,0.0
2020-02-24,0,3,0,0,0,3,0.0,0.0
2020-02-25,0,3,0,0,0,3,0.0,0.0
2020-02-26,0,3,0,0,0,3,0.0,0.0
2020-02-27,0,3,0,0,0,3,0.0,0.0
2020-02-28,0,3,0,0,0,3,0.0,0.0
2020-02-29,0,3,0,0,0,3,0.0,0.0
2020-03-01,0,3,0,0,0,3,0.0,0.0
2020-03-02,2,5,0,0,0,3,0.2857142857142857,0.0
2020-03-03,1,6,0,0,0,3,0.42857142857142855,0.0
2020-03-04,22,28,0,0,0,3,3.5714285714285716,0.0
2020-03-05,2,30,0,0,0,3,3.857142857142857,0.0
2020-03-06,1,31,0,0,0,3,4.0,0.0
2020-03-07,3,34,0,0,0,3,4.428571428571429,0.0
2020-03-08,5,39,0,0,0,3,5.142857142857143,0.0
2020-03-09,9,48,0,0,0,3,6.142857142857143,0.0
2020-03-10,15,63,0,0,1,4,8.142857142857142,0.0
2020-03-11,8,71,0,0,0,4,6.142857142857143,0.0
2020-03-12,10,81,1,1,0,4,7.285714285714286,0.14285714285714285
2020-03-13,10,91,0,1,6,10,8.571428571428571,0.14285714285714285
2020-03-14,11,102,1,2,0,10,9.714285714285714,0.2857142857142857
2020-03-15,10,112,0,2,3,13,10.428571428571429,0.2857142857142857
2020-03-16,14,126,0,2,1,14,11.142857142857142,0.2857142857142857
2020-03-17,20,146,1,3,1,15,11.857142857142858,0.42857142857142855
2020-03-18,25,171,0,3,0,15,14.285714285714286,0.42857142857142855
2020-03-19,27,198,1,4,5,20,16.714285714285715,0.42857142857142855
2020-03-20,58,256,0,4,3,23,23.571428571428573,0.42857142857142855
2020-03-21,78,334,0,4,0,23,33.142857142857146,0.2857142857142857
2020-03-22,69,403,3,7,0,23,41.57142857142857,0.7142857142857143
2020-03-23,94,497,2,9,2,25,53.0,1.0
2020-03-24,74,571,1,10,15,40,60.714285714285715,1.0
2020-03-25,86,657,1,11,3,43,69.42857142857143,1.1428571428571428
2020-03-26,73,730,5,16,7,50,76.0,1.7142857142857142
2020-03-27,153,883,3,19,25,75,89.57142857142857,2.142857142857143
2020-03-28,136,1019,5,24,10,85,97.85714285714286,2.857142857142857
2020-03-29,120,1139,3,27,17,102,105.14285714285714,2.857142857142857
2020-03-30,187,1326,14,41,35,137,118.42857142857143,4.571428571428571
2020-03-31,309,1635,6,47,13,150,152.0,5.285714285714286
2020-04-01,424,2059,6,53,19,169,200.28571428571428,6.0
2020-04-02,486,2545,16,69,22,191,259.2857142857143,7.571428571428571
2020-04-03,560,3105,14,83,39,230,317.42857142857144,9.142857142857142
2020-04-04,579,3684,13,96,56,286,380.7142857142857,10.285714285714286
2020-04-05,609,4293,22,118,43,329,450.57142857142856,13.0
2020-04-06,484,4777,16,134,65,394,493.0,13.285714285714286
2020-04-07,573,5350,27,161,75,469,530.7142857142857,16.285714285714285
2020-04-08,565,5915,20,181,96,565,550.8571428571429,18.285714285714285
2020-04-09,813,6728,46,227,70,635,597.5714285714286,22.571428571428573
2020-04-10,871,7599,22,249,151,786,642.0,23.714285714285715
2020-04-11,854,8453,41,290,186,972,681.2857142857143,27.714285714285715
2020-04-12,758,9211,42,332,114,1086,702.5714285714286,30.571428571428573
2020-04-13,1243,10454,27,359,112,1198,811.0,32.142857142857146
2020-04-14,1031,11485,37,396,167,1365,876.4285714285714,33.57142857142857
2020-04-15,886,12371,27,423,144,1509,922.2857142857143,34.57142857142857
2020-04-16,1061,13432,26,449,258,1767,957.7142857142857,31.714285714285715
2020-04-17,922,14354,38,487,273,2040,965.0,34.0
2020-04-18,1371,15725,35,522,426,2466,1038.857142857143,33.142857142857146
2020-04-19,1580,17305,38,560,388,2854,1156.2857142857142,32.57142857142857
2020-04-20,1239,18544,33,593,419,3273,1155.7142857142858,33.42857142857143
2020-04-21,1537,20081,53,646,703,3976,1228.0,35.714285714285715
2020-04-22,1292,21373,36,682,394,4370,1286.0,37.0
2020-04-23,1667,23040,40,722,642,5012,1372.5714285714287,39.0
2020-04-24,1408,24448,59,781,484,5496,1442.0,42.0
2020-04-25,1835,26283,44,825,442,5938,1508.2857142857142,43.285714285714285
2020-04-26,1607,27890,56,881,585,6523,1512.142857142857,45.857142857142854
2020-04-27,1568,29458,58,939,580,7103,1559.142857142857,49.42857142857143
2020-04-28,1902,31360,69,1008,636,7739,1611.2857142857142,51.714285714285715
2020-04-29,1705,33065,71,1079,690,8429,1670.2857142857142,56.714285714285715
2020-04-30,1801,34866,75,1154,630,9059,1689.4285714285713,61.714285714285715
2020-05-01,2396,37262,77,1231,962,10021,1830.5714285714287,64.28571428571429
2020-05-02,2564,39826,92,1323,831,10852,1934.7142857142858,71.14285714285714
2020-05-03,2952,42778,140,1463,911,11763,2126.8571428571427,83.14285714285714
2020-05-04,3656,46434,103,1566,1082,12845,2425.1428571428573,89.57142857142857
2020-05-05,2971,49405,128,1694,1295,14140,2577.8571428571427,98.0
2020-05-06,3602,53007,91,1785,1161,15301,2848.8571428571427,100.85714285714286
2020-05-07,3344,56351,104,1889,1475,16776,3069.285714285714,105.0
2020-05-08,3339,59690,97,1986,1111,17887,3204.0,107.85714285714286
2020-05-09,3175,62865,115,2101,1414,19301,3291.285714285714,111.14285714285714
2020-05-10,4311,67176,112,2213,1669,20970,3485.4285714285716,107.14285714285714
2020-05-11,3592,70768,81,2294,1579,22549,3476.285714285714,104.0
2020-05-12,3562,74330,120,2414,1905,24454,3560.714285714286,102.85714285714286
2020-05-13,3726,78056,137,2551,1963,26417,3578.4285714285716,109.42857142857143
2020-05-14,3991,82047,97,2648,1594,28011,3670.8571428571427,108.42857142857143
2020-05-15,3808,85855,104,2752,2234,30245,3737.8571428571427,109.42857142857143
2020-05-16,4794,90649,120,2872,4012,34257,3969.1428571428573,110.14285714285714
2020-05-17,5049,95698,152,3024,2538,36795,4074.5714285714284,115.85714285714286
2020-05-18,4628,100326,131,3155,2482,39277,4222.571428571428,123.0
2020-05-19,6141,106467,145,3300,3030,42307,4591.0,126.57142857142857
