GA,Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,15.0,20.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.92,150.92,150.92,150.92,150.92,150.92,150.92,235.98,242.84,242.84,278.52,301.84,328.59,381.42,419.15,461.68,519.99,566.64,618.09,688.75,765.58,827.32,827.32,827.32,827.32,1057.13,1218.34,1283.51,1393.27,1496.17,1627.2,1747.93,1988.72,2123.86,2339.95,2339.95,2840.05,3103.47,3325.73,3640.61,3640.61,3640.61,4620.91,5010.55,5495.56,6026.52,6026.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ,Gujarat,0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,18.0,30.0,34.0,38.0,43.0,47.0,55.0,63.0,70.0,74.0,87.0,88.0,95.0,108.0,128.0,146.0,175.0,186.0,262.0,378.0,468.0,516.0,572.0,650.0,766.0,929.0,1099.0,1376.0,1743.0,1939.0,2178.0,2407.0,2624.0,2815.0,3071.0,3301.0,3548.0,3774.0,4082.0,4395.0,4721.0,5054.0,5428.0,5804.0,6245.0,6625.0,7013.0,7403.0,7797.0,8195.0,8542.0,8904.0,9268.0,9592.0,9932.0,10989.0,11380.0,11746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,7.0,9.0,10.0,11.0,12.0,14.0,16.0,18.0,19.0,22.0,24.0,26.0,28.0,33.0,36.0,41.0,53.0,63.0,71.0,90.0,103.0,112.0,127.0,133.0,151.0,162.0,181.0,197.0,214.0,236.0,262.0,290.0,319.0,368.0,396.0,425.0,449.0,472.0,493.0,513.0,537.0,566.0,586.0,606.0,625.0,659.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.14,65.14,119.02,150.56,180.66,219.77,231.01,296.04,322.35,362.14,402.53,448.82,513.78,567.95,607.92,653.62,720.84,745.08,787.89,826.2,865.15,917.38,987.07,1060.58,1142.96,1234.63,1305.38,1382.24,1467.97,1550.66,1625.19,1690.95,1750.21,1796.12,1843.4,1885.98,1923.16,1971.75,2134.42,2214.5,2295.06,,,,,,,,,,,,,,,5.92,5.83,5.9,7.27,6.57,17.82,18.61,18.37,16.69,16.89,5.53,5.99,5.31,4.88,4.47,5.13,4.2,4.88,5.34,5.41,4.82,4.09,3.59,4.05,4.52,5.08,6.07,7.46,7.75,8.48,9.01,9.65,9.45,9.73,9.75,9.86,9.56,9.86,9.88,10.29,10.69,11.31,11.91,12.8,13.8,14.7,15.6,16.96,18.16,16.19,16.81,17.73
HR,Haryana,14.0,14.0,14.0,15.0,16.0,17.0,19.0,21.0,21.0,28.0,30.0,31.0,32.0,33.0,35.0,35.0,36.0,43.0,43.0,49.0,58.0,84.0,90.0,110.0,143.0,167.0,170.0,176.0,179.0,195.0,196.0,198.0,204.0,215.0,223.0,232.0,250.0,251.0,255.0,264.0,270.0,275.0,287.0,296.0,301.0,308.0,311.0,339.0,357.0,376.0,442.0,517.0,548.0,594.0,625.0,647.0,675.0,703.0,730.0,780.0,793.0,818.0,854.0,887.0,910.0,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,13.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.25,51.25,51.25,51.25,97.47,102.49,114.64,136.41,141.67,150.96,173.62,201.51,285.74,311.89,343.6,404.33,490.69,537.37,563.21,601.85,680.01,728.86,783.98,830.27,889.29,960.19,1011.32,1090.76,1167.69,1206.71,1364.44,1476.79,1585.05,1673.89,1798.27,1924.01,2060.77,2203.91,2310.35,2412.54,2544.35,2676.08,2797.33,2904.5,3017.9,3121.13,,,,,,,,,,,,,,,,,,,,,,,,4.96,4.42,4.5,11.91,13.9,21.41,22.5,48.71,54.57,55.22,49.66,51.83,28.24,16.44,46.52,52.65,52.85,55.52,61.22,29.73,25.46,29.74,29.6,36.34,34.71,32.9,27.29,22.12,8.7,9.48,8.52,8.57,11.72,14.1,15.14,17.09,16.46,20.84,22.03,21.84,21.82,25.14,23.83
HP,Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,13.0,14.0,18.0,27.0,27.0,28.0,28.0,32.0,32.0,32.0,33.0,35.0,35.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,42.0,43.0,46.0,50.0,52.0,58.0,59.0,67.0,68.0,74.0,76.0,78.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.26,131.26,162.33,176.47,191.21,207.98,233.94,290.53,321.88,372.35,421.79,487.27,539.63,586.3,631.23,674.25,714.8,744.69,786.26,841.83,894.48,943.92,997.01,1047.91,1083.64,1151.17,1238.39,1313.35,1388.75,1488.8,1573.83,1643.26,1782.83,1923.72,2079.19,2268.94,2411.43,2540.21,2657.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.98,18.9,14.41,16.63,15.67,23.36,21.47,25.39,22.62,27.01,18.83
JK,Jammu and Kashmir,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,14.0,20.0,33.0,38.0,49.0,55.0,62.0,70.0,75.0,92.0,106.0,109.0,125.0,158.0,184.0,207.0,224.0,245.0,270.0,278.0,300.0,314.0,328.0,341.0,354.0,368.0,380.0,407.0,434.0,454.0,494.0,523.0,546.0,565.0,581.0,614.0,639.0,666.0,701.0,726.0,741.0,775.0,793.0,823.0,836.0,861.0,879.0,934.0,971.0,983.0,1013.0,1121.0,1183.0,1289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.53,126.53,126.53,126.53,126.53,241.55,261.54,293.68,331.62,376.81,421.84,463.37,525.2,565.91,644.06,702.56,752.16,818.97,895.49,959.69,1047.06,1138.76,1222.7,1355.76,1505.13,1610.85,1769.85,1909.43,2124.15,2300.44,2554.39,2796.28,3076.01,3461.14,3650.89,3840.73,4187.76,4382.9,4659.04,5181.47,5735.48,6215.57,6602.5,7227.96,,,,,,,,,,,,,,,,,,3.39,4.16,5.03,6.05,6.19,5.97,9.78,9.65,8.23,8.46,8.66,5.45,5.98,6.82,10.65,11.3,12.58,14.21,16.35,15.31,17.06,18.34,17.19,15.78,15.15,13.22,11.33,12.53,14.42,16.31,17.18,18.22,18.35,17.0,16.0,20.26,19.88,22.57,23.6,28.49,26.41,30.02,26.27,26.1,28.54,28.45,23.12,23.41,21.46
JH,Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,13.0,14.0,17.0,19.0,24.0,27.0,28.0,29.0,32.0,33.0,41.0,46.0,46.0,46.0,53.0,59.0,67.0,82.0,103.0,105.0,107.0,110.0,113.0,115.0,115.0,115.0,125.0,127.0,132.0,154.0,156.0,157.0,161.0,172.0,177.0,203.0,211.0,217.0,223.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65,46.9,51.05,60.12,70.8,70.8,70.8,95.34,104.08,110.6,128.46,128.46,157.01,163.2,186.92,211.43,236.79,265.64,285.38,311.47,333.28,357.06,375.93,396.01,419.58,456.95,482.55,518.74,522.32,565.18,631.92,643.11,692.07,781.68,842.95,886.85,941.11,1007.7,1072.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,10.89,16.94,20.86,25.33,32.62,,,,,,,25.63,45.66,42.44,40.95,44.88,35.15,17.04,16.48,19.46,20.88
KA,Karnataka,6.0,6.0,7.0,9.0,14.0,15.0,15.0,20.0,26.0,33.0,41.0,51.0,55.0,64.0,81.0,83.0,88.0,101.0,110.0,124.0,128.0,144.0,151.0,163.0,175.0,181.0,197.0,207.0,215.0,232.0,247.0,260.0,279.0,315.0,359.0,384.0,390.0,408.0,418.0,427.0,445.0,474.0,500.0,503.0,512.0,523.0,535.0,565.0,589.0,601.0,614.0,651.0,673.0,693.0,705.0,753.0,794.0,848.0,862.0,925.0,959.0,987.0,1056.0,1092.0,1147.0,1246.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,8.0,10.0,12.0,13.0,13.0,14.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,19.0,20.0,20.0,21.0,22.0,22.0,25.0,25.0,27.0,29.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,33.0,35.0,36.0,36.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.14,75.14,75.14,75.14,107.79,114.12,124.71,130.64,140.22,151.54,164.09,181.94,204.48,224.81,288.2,314.28,350.01,384.29,429.72,483.43,526.18,589.02,640.21,703.78,748.36,827.43,907.56,985.4,1063.08,1142.23,1226.89,1297.24,1372.81,1454.24,1532.18,1606.64,1688.83,1757.84,1828.01,1908.9,1984.99,2102.85,2190.5,2293.7,2381.73,2484.36,,,,,,,,,,,,2.87,4.22,4.61,4.61,9.66,11.39,10.56,11.27,11.84,10.52,9.33,11.25,11.43,12.23,11.97,12.43,12.31,14.16,14.03,12.13,13.19,12.36,9.84,9.08,8.93,15.17,16.28,20.86,26.31,27.6,20.86,20.38,37.83,39.14,42.3,46.22,46.16,26.32,25.38,25.34,21.59,23.22,24.63,25.83,21.45,21.7,19.64,23.37,17.26,18.99,21.2,21.14,16.81,17.67,15.5
KL,Kerala,19.0,24.0,27.0,27.0,27.0,28.0,40.0,52.0,67.0,95.0,109.0,118.0,137.0,176.0,182.0,202.0,234.0,241.0,265.0,286.0,295.0,306.0,314.0,327.0,336.0,345.0,357.0,364.0,374.0,376.0,379.0,387.0,388.0,395.0,396.0,400.0,402.0,408.0,427.0,438.0,448.0,451.0,458.0,469.0,482.0,486.0,496.0,498.0,498.0,500.0,500.0,500.0,503.0,503.0,503.0,504.0,506.0,513.0,520.0,525.0,535.0,561.0,577.0,588.0,602.0,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.56,253.27,273.72,291.84,306.13,320.96,336.41,358.99,380.68,399.52,424.2,448.94,469.72,486.26,493.45,521.15,539.99,562.3,579.59,591.72,606.57,623.61,638.98,657.13,669.71,687.5,696.99,718.23,747.34,777.92,813.17,933.97,964.94,988.69,1012.35,1036.28,1053.41,1074.83,1097.65,1122.09,1133.89,1154.53,1179.48,1218.77,1263.97,1307.94,1348.61,1374.91,,,,,,,,,,5.67,2.87,4.23,4.63,4.63,8.37,8.69,7.89,11.66,12.57,10.25,13.4,16.24,16.91,18.87,22.16,22.93,23.19,24.96,26.66,47.55,59.75,62.33,108.91,111.55,140.38,136.73,157.89,113.53,108.82,59.44,51.79,44.77,44.41,47.2,46.82,57.46,43.49,68.94,,,,,,,,,,,,139.61,77.16,45.07,39.91,37.03,28.43,24.03
LA,Ladakh,0.0,0.0,0.0,0.0,8.0,8.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,23.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127.43,2616.25,2822.8,3156.71,3156.71,3156.71,3411.45,3411.45,3914.05,3914.05,3914.05,3914.05,3914.05,3914.05,3914.05,3914.05,6709.31,7728.27,8365.12,8378.89,8378.89,9084.59,9084.59,9084.59,9084.59,9084.59,12058.85,12058.85,12058.85,12058.85,12678.49,12678.49,12678.49,14000.39,14000.39,14523.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD,Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP,Madhya Pradesh,0.0,0.0,,0.0,0.0,0.0,4.0,4.0,6.0,6.0,7.0,15.0,20.0,29.0,39.0,39.0,47.0,66.0,98.0,107.0,154.0,179.0,193.0,256.0,290.0,341.0,411.0,451.0,529.0,562.0,614.0,741.0,938.0,1164.0,1310.0,1402.0,1407.0,1485.0,1552.0,1587.0,1687.0,1846.0,1945.0,2090.0,2165.0,2387.0,2560.0,2625.0,2715.0,2788.0,2837.0,2942.0,3049.0,3138.0,3252.0,3341.0,3457.0,3614.0,3785.0,3986.0,4173.0,4426.0,4595.0,4790.0,4977.0,5236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,6.0,8.0,8.0,11.0,13.0,15.0,21.0,24.0,33.0,37.0,41.0,44.0,51.0,54.0,54.0,56.0,70.0,70.0,73.0,77.0,81.0,81.0,84.0,93.0,100.0,104.0,111.0,121.0,131.0,138.0,146.0,152.0,157.0,166.0,177.0,186.0,194.0,201.0,212.0,216.0,222.0,226.0,233.0,238.0,240.0,244.0,249.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.73,38.73,51.93,55.87,70.73,97.1,117.3,144.37,144.37,111.64,132.18,185.85,210.78,206.31,245.67,263.67,287.96,312.19,338.14,361.35,383.84,347.56,372.04,427.84,466.09,574.56,607.68,641.59,677.51,717.58,752.02,752.02,840.52,877.51,936.8,992.72,1047.4,1114.15,1183.27,1236.4,1292.72,1373.0,1431.14,1545.06,,,,,,,,,,,,,,,,,,,,,3.46,3.64,5.07,5.21,4.75,5.22,5.04,4.69,5.07,6.25,6.96,6.96,6.05,5.83,4.71,5.18,43.39,45.37,47.87,52.91,53.14,15.73,15.82,14.61,12.32,11.47,11.92,14.79,16.97,18.27,24.8,26.64,24.99,25.7,24.36,21.53,21.78,21.02,19.2,18.0,15.88,14.18,14.76,15.09,16.03,15.74
MH,Maharashtra,14.0,32.0,38.0,41.0,44.0,48.0,52.0,64.0,74.0,97.0,107.0,122.0,125.0,156.0,186.0,203.0,220.0,302.0,335.0,423.0,487.0,635.0,747.0,868.0,1018.0,1135.0,1364.0,1574.0,1761.0,1982.0,2334.0,2680.0,2916.0,3201.0,3321.0,3648.0,4200.0,4666.0,5218.0,5649.0,6427.0,6817.0,7628.0,8068.0,8590.0,9318.0,9915.0,10498.0,11506.0,12296.0,12974.0,14541.0,15525.0,16758.0,17974.0,19063.0,20228.0,22171.0,23401.0,24427.0,25922.0,27524.0,29100.0,30706.0,33053.0,35058.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,7.0,9.0,10.0,13.0,21.0,26.0,32.0,45.0,52.0,64.0,72.0,97.0,109.0,126.0,148.0,159.0,177.0,186.0,193.0,200.0,210.0,222.0,231.0,250.0,268.0,282.0,300.0,322.0,341.0,368.0,399.0,431.0,458.0,484.0,520.0,547.0,582.0,616.0,650.0,693.0,730.0,778.0,831.0,867.0,920.0,974.0,1018.0,1067.0,1134.0,1197.0,1248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.75,152.23,180.96,180.96,180.96,260.03,275.99,309.16,344.33,356.0,391.28,441.04,482.61,521.51,578.98,618.2,657.35,713.4,773.14,825.26,874.69,935.94,998.07,1045.51,1115.78,1176.17,1249.55,1309.58,1384.72,1459.44,1519.67,1575.34,1640.13,1737.7,1821.75,1954.8,1897.51,1926.72,2002.8,2084.46,2174.74,2269.37,2375.33,2448.12,,,,,,,7.92,7.78,6.91,5.46,5.28,4.6,9.64,9.31,9.59,9.76,10.43,5.16,5.87,5.68,5.08,3.88,4.29,3.88,4.15,4.44,4.68,4.79,5.1,5.4,4.98,5.23,5.9,6.15,8.75,9.38,9.36,9.03,8.78,6.76,6.36,7.73,7.65,8.88,9.34,9.97,9.85,11.05,10.09,9.96,10.84,9.82,9.52,9.82,9.71,9.48,10.6,10.0,10.75,12.0,11.98,11.96,12.93,12.95,11.6,11.62
MN,Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.19,92.19,92.19,103.88,103.88,103.88,103.88,103.88,103.88,103.88,134.28,138.96,138.96,138.96,138.96,138.96,153.32,153.99,156.33,156.33,190.73,190.73,190.73,228.48,252.53,288.94,366.1,446.6,446.6,569.86,569.86,569.86,569.86,569.86,569.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
